n,mean_distance_to_k_neighbors,proximity_score
5282,2.706178338397064,0.3695247965778763
5301,3.1431121523001755,0.3181560032046159
5306,3.928463586396228,0.25455244219715284
5314,2.6702403421930105,0.37449812445659747
5321,2.730566084805058,0.36622442707554037
5323,3.5987203422638254,0.27787655191085453
5329,3.6021916738861663,0.2776087700299658
5354,2.6653362032860004,0.3751871898062089
5355,3.159944245341619,0.3164612798070348
5358,3.4641774362740185,0.28866881630500024
5375,3.83925207991609,0.26046739812447933
5383,3.2364158021824694,0.3089837836428012
5395,2.42620623299958,0.4121661161356685
5398,3.063912213398654,0.32638010828985875
5400,3.7627764615218204,0.2657612032566222
5405,3.133493435152344,0.31913262966547845
5419,2.800076594930883,0.35713308764838514
5425,2.931006699143778,0.34117970466999764
5426,2.4939281416173618,0.40097386260338647
5433,2.5723494611746855,0.3887496683840743
5440,6.694334938220574,0.14938003688618265
5447,3.417980402404911,0.2925704311517121
5449,3.94960632879076,0.25318979076730264
5459,3.301137414493631,0.3029258932418871
5469,4.3882130591114805,0.22788319220814013
5471,4.527101614887195,0.22089188294588274
5479,4.08334337415492,0.24489735698671508
5482,3.3548224407419385,0.29807836857635484
5489,3.010573675273756,0.3321626068190264
5497,4.19610547077875,0.23831622130655664
5498,4.222118969293821,0.23684789729338682
5511,3.8501317800670187,0.25973136950193776
5526,3.699817942110639,0.2702835695286289
5528,3.143791112823418,0.31808729146180087
5530,3.5480916432893537,0.2818416491273718
5532,2.5008192737072172,0.39986895915001447
5534,2.986443176051622,0.3348464849486156
5535,3.573043908270545,0.27987341484525685
5539,2.6690953799276294,0.3746587729760109
5545,4.532745034276788,0.2206168651529574
5550,3.3931017279642113,0.29471559657590457
5559,3.5854090340181806,0.2789082055943329
5565,3.497528380495875,0.28591619315407396
5566,3.588899489230632,0.2786369479001753
5574,3.1947113237750258,0.3130173272801495
5578,3.781941273893467,0.2644144706589393
5586,3.2342424785978494,0.3091914123993646
5593,3.3668391139473224,0.2970144893045664
5599,3.99626824025018,0.25023345278172476
5609,3.735411435011881,0.26770812731009147
5610,3.886703515932356,0.25728744060372694
5614,3.972821297567498,0.25171028976612514
5622,3.0296921691511165,0.3300665361919782
5625,4.064258853431703,0.246047320326409
5636,2.85550470470139,0.3502007887968874
5643,3.4447000442180213,0.2903010384541969
5644,3.6459820675078674,0.2742745250755592
5649,4.825773963065736,0.20722064639855384
5653,4.5823361693679425,0.21822929681252853
5661,3.5190590362342933,0.2841668723664849
5667,3.66876416046249,0.2725713499866031
5670,4.4232661392601145,0.22607728509120303
5672,3.4993446959208327,0.2857677899423309
5682,2.31310093312981,0.4323200884478863
5709,3.9883451245615795,0.2507305583565
5711,3.82629578401306,0.2613493719377146
5726,2.8981088089996097,0.3450526070292172
5738,4.628174470862524,0.21606791323349145
5755,3.8266704253654567,0.2613237851295323
5759,4.202014012962001,0.23798111974759018
5766,2.428521063360768,0.4117732454894642
5787,3.097292813248488,0.3228625965624677
5794,3.1764675607221626,0.3148151148668861
